configuration,inputModel,defaultPersuadedAudienceMembers,mdeo-runtime,mdeo-averagePersuadedAudienceMembers,mdeo-bestPersuadedAudienceMembers,ra-runtime,ra-averagePersuadedAudienceMembers,ra-bestPersuadedAudienceMembers,bf-runtime,bf-persuadedAudienceMembers
configuration-1,PF-Tree-202-args-Audience-10-Members-PAF-size-52-args.xmi,4.0,00:02:43.469,-9.0,9.0,00:00:00.050570,1.29,8.0,0,0
configuration-1,PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi,0.0,00:01:55.724,-0.0,0,00:00:00.047170,0.0,0,0,0
configuration-1,PF-Tree-102-args-Audience-100-Members-PAF-size-78-args.xmi,17.0,00:45:23.888,-24.0,24.0,00:00:00.208661,7.32,24.0,0,0
configuration-1,PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi,0.0,00:02:04.419,-0.0,0,00:00:00.044750,0.0,0,0,0
configuration-1,PF-Tree-102-args-Audience-10-Members-PAF-size-27-args.xmi,7.0,00:01:59.114,-8.0,8.0,00:00:00.047142,2.56,8.0,0,0
configuration-1,PF-Cycle-11-args-Audience-1-Members-PAF-size-4-args.xmi,0.0,00:00:11.395,-1.0,1.0,00:00:00.031263,0.01,1.0,00:00:01.953,1
configuration-1,PF-Cycle-51-args-Audience-50-Members-PAF-size-14-args.xmi,0.0,00:08:48.917,-0.0,0,00:00:00.111001,0.0,0,0,0
configuration-1,PF-Tree-102-args-Audience-100-Members-PAF-size-27-args.xmi,25.0,00:35:16.401,-45.0,45.0,00:00:00.188830,4.77,32.0,0,0
configuration-1,PF-Ladder-51-args-Audience-100-Members-PAF-size-14-args.xmi,57.0,00:45:54.567,-69.9,70.0,00:00:00.186470,28.56,70.0,0,0
configuration-1,PF-Ladder-51-args-Audience-50-Members-PAF-size-40-args.xmi,10.0,00:10:21.019,-14.0,15.0,00:00:00.116651,5.39,11.0,0,0
configuration-1,PF-Ladder-201-args-Audience-100-Members-PAF-size-52-args.xmi,58.0,00:35:17.115,-78.0,78.0,00:00:00.236700,26.52,78.0,0,0
configuration-1,PF-Cycle-201-args-Audience-50-Members-PAF-size-102-args.xmi,0.0,00:18:31.713,-0.0,0,00:00:00.145321,0.0,0,0,0
configuration-1,PF-Tree-12-args-Audience-2-Members-PAF-size-4-args.xmi,0.0,00:00:22.131,-2.0,2.0,00:00:00.032360,0.51,2.0,00:00:01.117,2
configuration-1,PF-Tree-202-args-Audience-100-Members-PAF-size-52-args.xmi,15.0,00:35:17.312,-65.0,65.0,00:00:00.221420,2.87,38.0,0,0
configuration-1,PF-Cycle-101-args-Audience-10-Members-PAF-size-52-args.xmi,0.0,00:02:29.351,-0.0,0,00:00:00.049639,0.0,0,0,0
configuration-1,PF-Cycle-21-args-Audience-2-Members-PAF-size-12-args.xmi,0.0,00:00:22.388,-1.0,1.0,00:00:00.005159,0.0,0,07:17:00.997,1
configuration-1,PF-Cycle-11-args-Audience-1-Members-PAF-size-10-args.xmi,0.0,00:00:13.313,-0.0,0,00:00:00.002405,0.0,0,00:00:05.871,0
