configuration,inputModel,defaultPersuadedAudienceMembers,mdeo-runtime,mdeo-persuadedAudienceMembers,mdeo-arguments-put-forward,mdeo-average-hypervolume,mdeo-knee-point,ra-runtime,ra-persuadedAudienceMembers,ra-arguments-put-forward,ra-hypervolume,ra-knee-point
configuration-2,PF-Tree-12-args-Audience-5-Members-PAF-size-7-args.xmi,1.0,00:00:56.330,2.4,1.2,0.55,0,00:00:00.009069,1.1,5.81,0.3515151515151515,0
configuration-2,PF-Ladder-101-args-Audience-10-Members-PAF-size-27-args.xmi,7.0,00:02:04.191,8.25,0.55,0.799009900990099,0,00:00:00.048180,2.77,51.39,0.0,0
configuration-2,PF-Tree-52-args-Audience-5-Members-PAF-size-27-args.xmi,0.0,00:00:57.057,1.9,1.9,0.5580769230769229,0,00:00:00.010748,0.17,23.85,0.2797202797202798,0
configuration-2,PF-Ladder-51-args-Audience-100-Members-PAF-size-27-args.xmi,38.0,00:42:54.463,60.18833333333333,2.15,0.507843137254902,0,00:00:00.195430,16.72,24.46,0.36825311942959,0
configuration-2,PF-Cycle-101-args-Audience-50-Members-PAF-size-52-args.xmi,0.0,00:12:08.240,0.0,0.0,0.0,0,00:00:00.130520,0.0,51.28,0.0,0
configuration-2,PF-Cycle-51-args-Audience-10-Members-PAF-size-14-args.xmi,0.0,00:01:47.424,0.0,0.0,0.0,0,00:00:00.041930,0.0,26.59,0.0,0
configuration-2,PF-Ladder-201-args-Audience-10-Members-PAF-size-152-args.xmi,3.0,00:04:54.163,3.85,0.55,0.39950248756218903,0,00:00:00.066679,1.72,97.58,0.0,0
configuration-2,PF-Cycle-201-args-Audience-50-Members-PAF-size-52-args.xmi,0.0,00:13:34.642,0.0,0.0,0.0,0,00:00:00.153610,0.0,104.28,0.0,0
configuration-2,PF-Cycle-51-args-Audience-1-Members-PAF-size-40-args.xmi,0.0,00:00:15.925,0.0,0.0,0.0,0,00:00:00.003510,0.0,24.93,0.0,0
configuration-2,PF-Tree-202-args-Audience-10-Members-PAF-size-153-args.xmi,1.0,00:04:47.408,5.1049999999999995,2.32,0.5655940594059405,0,00:00:00.049900,2.11,102.24,0.4569306930693069,0
configuration-2,PF-Ladder-51-args-Audience-10-Members-PAF-size-14-args.xmi,8.0,00:01:53.137,9.35,0.55,0.8980392156862745,0,00:00:00.041101,3.41,26.06,0.47379679144385034,0
configuration-2,PF-Ladder-11-args-Audience-2-Members-PAF-size-10-args.xmi,1.0,00:00:22.109,1.0,0.0,0.0,0,00:00:00.004089,0.53,5.44,0.4090909090909091,0
configuration-2,PF-Cycle-101-args-Audience-10-Members-PAF-size-77-args.xmi,0.0,00:02:53.721,0.0,0.0,0.0,0,00:00:00.054601,0.0,46.7,0.0,0
configuration-2,PF-Tree-22-args-Audience-5-Members-PAF-size-18-args.xmi,4.0,00:00:54.021,4.0,0.0,0.0,0,00:00:00.030760,1.81,11.64,0.29090909090909095,0
configuration-2,PF-Ladder-51-args-Audience-5-Members-PAF-size-27-args.xmi,1.0,00:00:58.217,1.65,0.55,0.396078431372549,0,00:00:00.035959,0.55,25.47,0.22745098039215686,0
configuration-2,PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.xmi,1.0,00:00:52.850,2.4,1.2,0.5714285714285714,0,00:00:00.010201,0.81,9.9,0.39220779220779217,0
configuration-2,PF-Cycle-11-args-Audience-5-Members-PAF-size-4-args.xmi,2.0,00:00:50.390,2.4,0.4,0.1690909090909091,0,00:00:00.009960,0.65,4.29,0.29090909090909095,0
configuration-2,PF-Ladder-11-args-Audience-5-Members-PAF-size-7-args.xmi,3.0,00:00:51.282,3.85,0.55,0.781818181818182,0,00:00:00.009550,1.71,4.81,0.606611570247934,0
configuration-2,PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi,0.0,00:02:05.438,0.0,0.0,0.0,0,00:00:00.044750,0.0,21.72,0.0,0
configuration-2,PF-Ladder-11-args-Audience-2-Members-PAF-size-7-args.xmi,1.0,00:00:22.366,1.0,0.0,0.0,0,00:00:00.003740,0.5,5.07,0.2727272727272727,0
configuration-2,PF-Tree-12-args-Audience-2-Members-PAF-size-10-args.xmi,0.0,00:00:23.743,0.0,0.0,0.0,0,00:00:00.003899,0.0,5.15,0.0,0
configuration-2,PF-Tree-102-args-Audience-10-Members-PAF-size-78-args.xmi,6.0,00:02:43.394,9.366666666666667,1.35,0.9250980392156863,0,00:00:00.046599,7.75,50.0,0.7940285204991088,0
configuration-2,PF-Cycle-11-args-Audience-1-Members-PAF-size-4-args.xmi,0.0,00:00:11.362,0.55,0.55,0.909090909090909,0,00:00:00.031263,0.01,5.58,0.4958677685950413,0
configuration-2,PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi,0.0,00:00:23.370,1.1,0.55,0.980392156862745,0,00:00:00.005109,0.28,23.28,0.17825311942959002,0
configuration-2,PF-Ladder-51-args-Audience-1-Members-PAF-size-14-args.xmi,1.0,00:00:12.947,1.0,0.0,0.0,0,00:00:00.002695,0.46,24.96,0.2727272727272727,0
configuration-2,PF-Tree-102-args-Audience-50-Members-PAF-size-27-args.xmi,25.0,00:10:01.870,46.491666666666674,3.2,0.693921568627451,0,00:00:00.102570,13.31,48.34,0.5207664884135471,0
configuration-2,PF-Ladder-101-args-Audience-100-Members-PAF-size-52-args.xmi,43.0,00:44:42.485,55.88333333333334,1.15,0.4883267326732673,0,00:00:00.203641,21.26,48.87,0.34349234923492344,0
configuration-2,PF-Tree-202-args-Audience-10-Members-PAF-size-52-args.xmi,4.0,00:02:42.723,9.186666666666666,2.5,0.8356930693069307,0,00:00:00.050570,1.29,113.19,0.6047704770477048,0
configuration-2,PF-Ladder-201-args-Audience-50-Members-PAF-size-102-args.xmi,19.0,00:17:51.906,26.558333333333337,1.15,0.4892935323383084,0,00:00:00.152091,10.27,87.49,0.3887652645861601,0
configuration-2,PF-Ladder-21-args-Audience-2-Members-PAF-size-17-args.xmi,0.0,00:00:22.641,0.0,0.0,0.0,0,00:00:00.005038,0.0,9.14,0.0,0
configuration-2,PF-Tree-12-args-Audience-1-Members-PAF-size-7-args.xmi,1.0,00:00:11.523,1.0,0.0,0.0,0,00:00:00.002075,0.5,4.65,0.9090909090909091,0
configuration-2,PF-Tree-22-args-Audience-2-Members-PAF-size-18-args.xmi,1.0,00:00:22.769,1.0,0.0,0.0,0,00:00:00.004769,0.56,9.92,0.17355371900826447,0
configuration-2,PF-Ladder-51-args-Audience-10-Members-PAF-size-40-args.xmi,0.0,00:02:07.387,0.0,0.0,0.0,0,00:00:00.047942,0.06,24.53,0.013903743315508017,0
