batch-id,duration,o-MaximisePFWithAcceptableTopics,solutions-found,solution-model
0,00:00:30.447,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110919-c1-argumentation-framework-argmatsat-PF-Cycle-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-0/3A2B2322.xmi
1,00:00:23.960,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110919-c1-argumentation-framework-argmatsat-PF-Cycle-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-1/242FE5FC.xmi
2,00:00:23.349,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110919-c1-argumentation-framework-argmatsat-PF-Cycle-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-2/7DAFDC6F.xmi
3,00:00:23.242,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110919-c1-argumentation-framework-argmatsat-PF-Cycle-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-3/71A45871.xmi
4,00:00:23.119,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110919-c1-argumentation-framework-argmatsat-PF-Cycle-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-4/7DCC6DD5.xmi
5,00:00:23.141,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110919-c1-argumentation-framework-argmatsat-PF-Cycle-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-5/7CB07F3B.xmi
6,00:00:23.218,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110919-c1-argumentation-framework-argmatsat-PF-Cycle-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-6/21A3B629.xmi
7,00:00:23.289,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110919-c1-argumentation-framework-argmatsat-PF-Cycle-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-7/7D596A6C.xmi
8,00:00:23.313,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110919-c1-argumentation-framework-argmatsat-PF-Cycle-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-8/5FB0DE61.xmi
9,00:00:23.223,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110919-c1-argumentation-framework-argmatsat-PF-Cycle-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-9/241E2D73.xmi
