batch-id,duration,o-MaximisePFWithAcceptableTopics,solutions-found,solution-model
0,00:00:34.092,-2.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111138-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-2-Members-PAF-size-40-args.mopt-matching-henshin/batch-0/0BC4D5E1.xmi
1,00:00:26.728,-2.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111138-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-2-Members-PAF-size-40-args.mopt-matching-henshin/batch-1/6D3FFF10.xmi
2,00:00:25.976,-2.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111138-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-2-Members-PAF-size-40-args.mopt-matching-henshin/batch-2/27DE568E.xmi
3,00:00:25.946,-2.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111138-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-2-Members-PAF-size-40-args.mopt-matching-henshin/batch-3/67AD612E.xmi
4,00:00:25.957,-2.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111138-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-2-Members-PAF-size-40-args.mopt-matching-henshin/batch-4/791D9153.xmi
5,00:00:25.905,-2.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111138-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-2-Members-PAF-size-40-args.mopt-matching-henshin/batch-5/697C8EEB.xmi
6,00:00:25.934,-2.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111138-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-2-Members-PAF-size-40-args.mopt-matching-henshin/batch-6/1AE13491.xmi
7,00:00:25.960,-2.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111138-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-2-Members-PAF-size-40-args.mopt-matching-henshin/batch-7/4CFE3B83.xmi
8,00:00:25.980,-2.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111138-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-2-Members-PAF-size-40-args.mopt-matching-henshin/batch-8/16196792.xmi
9,00:00:26.064,-2.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111138-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-2-Members-PAF-size-40-args.mopt-matching-henshin/batch-9/0BFAACB2.xmi
