batch-id,duration,o-MaximisePFWithAcceptableTopics,solutions-found,solution-model
0,00:11:53.176,-7.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-163925-c1-argumentation-framework-argmatsat-PF-Tree-102-args-Audience-50-Members-PAF-size-52-args.mopt-matching-henshin/batch-0/5A723849.xmi
1,00:12:10.148,-7.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-163925-c1-argumentation-framework-argmatsat-PF-Tree-102-args-Audience-50-Members-PAF-size-52-args.mopt-matching-henshin/batch-1/4E089E4C.xmi
2,00:11:46.089,-7.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-163925-c1-argumentation-framework-argmatsat-PF-Tree-102-args-Audience-50-Members-PAF-size-52-args.mopt-matching-henshin/batch-2/2616402D.xmi
3,00:12:18.271,-7.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-163925-c1-argumentation-framework-argmatsat-PF-Tree-102-args-Audience-50-Members-PAF-size-52-args.mopt-matching-henshin/batch-3/53F44121.xmi
4,00:11:20.311,-7.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-163925-c1-argumentation-framework-argmatsat-PF-Tree-102-args-Audience-50-Members-PAF-size-52-args.mopt-matching-henshin/batch-4/552D45AE.xmi
5,00:11:30.763,-7.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-163925-c1-argumentation-framework-argmatsat-PF-Tree-102-args-Audience-50-Members-PAF-size-52-args.mopt-matching-henshin/batch-5/237DF3E2.xmi
6,00:11:58.149,-7.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-163925-c1-argumentation-framework-argmatsat-PF-Tree-102-args-Audience-50-Members-PAF-size-52-args.mopt-matching-henshin/batch-6/730CBCA5.xmi
7,00:11:46.954,-7.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-163925-c1-argumentation-framework-argmatsat-PF-Tree-102-args-Audience-50-Members-PAF-size-52-args.mopt-matching-henshin/batch-7/22299D94.xmi
8,00:12:09.703,-7.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-163925-c1-argumentation-framework-argmatsat-PF-Tree-102-args-Audience-50-Members-PAF-size-52-args.mopt-matching-henshin/batch-8/2FF34AD8.xmi
9,00:11:46.901,-7.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-163925-c1-argumentation-framework-argmatsat-PF-Tree-102-args-Audience-50-Members-PAF-size-52-args.mopt-matching-henshin/batch-9/665DDE2C.xmi
