batch-id,duration,o-MaximisePFWithAcceptableTopics,o-MinimiseArgumentsPutForward,solutions-found,solution-model
0,00:00:18.491,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-174737-c2-argumentation-framework-argmatsat-PF-Cycle-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-0/0DCA2615.xmi
1,00:00:14.897,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-174737-c2-argumentation-framework-argmatsat-PF-Cycle-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-1/03743111.xmi
2,00:00:12.419,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-174737-c2-argumentation-framework-argmatsat-PF-Cycle-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-2/270B8711.xmi
3,00:00:12.345,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-174737-c2-argumentation-framework-argmatsat-PF-Cycle-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-3/63B3A902.xmi
4,00:00:12.241,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-174737-c2-argumentation-framework-argmatsat-PF-Cycle-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-4/296551A9.xmi
5,00:00:12.253,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-174737-c2-argumentation-framework-argmatsat-PF-Cycle-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-5/3E26AB38.xmi
6,00:00:12.381,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-174737-c2-argumentation-framework-argmatsat-PF-Cycle-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-6/3DABFF1C.xmi
7,00:00:12.563,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-174737-c2-argumentation-framework-argmatsat-PF-Cycle-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-7/6BF7EE95.xmi
8,00:00:13.427,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-174737-c2-argumentation-framework-argmatsat-PF-Cycle-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-8/36845610.xmi
9,00:00:14.354,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-174737-c2-argumentation-framework-argmatsat-PF-Cycle-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-9/12DAA384.xmi
