run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
0,00:00:00.086,0,8,["b17"|"c15"|"b12"|"c10"|"c3"|"c16"|"c1"|"c17"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
1,00:00:00.033,0,10,["b3"|"c17"|"c14"|"c10"|"a"|"c11"|"b22"|"c15"|"c21"|"c18"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
2,00:00:00.036,0,22,["c5"|"c14"|"b22"|"c24"|"c13"|"b12"|"b23"|"c21"|"b17"|"c18"|"b20"|"c20"|"b6"|"a"|"c9"|"c16"|"b1"|"b14"|"c12"|"c11"|"c17"|"c19"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
3,00:00:00.035,0,4,["b3"|"c15"|"c5"|"c4"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
4,00:00:00.045,0,2,["b11"|"c12"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
5,00:00:00.032,0,25,["c12"|"b6"|"b21"|"c16"|"c7"|"c3"|"c23"|"c21"|"b19"|"b11"|"c24"|"c6"|"b13"|"c19"|"b3"|"b12"|"c22"|"c2"|"c13"|"c17"|"b0"|"b20"|"b10"|"c0"|"a"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
6,00:00:00.032,0,36,["b15"|"c6"|"c0"|"c7"|"c12"|"c18"|"c17"|"b9"|"c5"|"c23"|"c22"|"b22"|"b14"|"b3"|"b8"|"b16"|"c3"|"b10"|"b18"|"b21"|"c1"|"c4"|"c16"|"b0"|"c14"|"c10"|"b20"|"c24"|"b12"|"c19"|"b17"|"b5"|"c15"|"b19"|"b1"|"c11"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
7,00:00:00.029,0,23,["c20"|"b21"|"b3"|"c19"|"b0"|"c2"|"c7"|"c3"|"b23"|"c5"|"b2"|"c11"|"c16"|"b17"|"c6"|"b6"|"a"|"b4"|"b1"|"c9"|"b11"|"b18"|"c10"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
8,00:00:00.033,0,31,["c9"|"c21"|"c10"|"b4"|"b5"|"b15"|"b20"|"b13"|"b1"|"c20"|"b0"|"b2"|"c6"|"b11"|"c2"|"c1"|"c7"|"c5"|"c8"|"c17"|"b10"|"c14"|"c3"|"b3"|"b6"|"c24"|"b21"|"c22"|"b7"|"c16"|"b22"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
9,00:00:00.031,0,37,["b13"|"c13"|"c23"|"b24"|"c21"|"c19"|"b5"|"b1"|"a"|"c2"|"b23"|"b11"|"b4"|"c9"|"b18"|"b21"|"b2"|"c20"|"c14"|"b20"|"c11"|"b9"|"b6"|"b7"|"c15"|"c6"|"c24"|"b19"|"c0"|"c16"|"c7"|"c18"|"b17"|"c4"|"b0"|"b3"|"b8"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
10,00:00:00.033,0,1,["b4"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
11,00:00:00.028,0,8,["c7"|"c9"|"b8"|"c3"|"b21"|"b13"|"b7"|"b23"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
12,00:00:00.028,0,1,["b1"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
