run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
0,00:00:00.041,0,45,["b19"|"b24"|"c3"|"c24"|"c8"|"b20"|"b10"|"c19"|"c1"|"b1"|"b15"|"c21"|"c12"|"b7"|"b23"|"c17"|"c14"|"c4"|"b22"|"b2"|"c5"|"c2"|"c23"|"c22"|"a"|"c0"|"b4"|"c18"|"c15"|"b18"|"b13"|"c20"|"c13"|"c16"|"b14"|"c6"|"b11"|"b8"|"c10"|"b6"|"b16"|"b17"|"b5"|"b3"|"c7"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
1,00:00:00.009,0,33,["c10"|"b16"|"b14"|"c24"|"c7"|"b18"|"b7"|"c18"|"b5"|"b10"|"c15"|"b24"|"c1"|"b21"|"b2"|"b4"|"b8"|"b15"|"c5"|"b23"|"c17"|"b17"|"c22"|"b13"|"c6"|"c23"|"c2"|"c0"|"b19"|"a"|"c4"|"b20"|"b0"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
2,00:00:00.010,0,32,["b17"|"b6"|"b12"|"c6"|"b11"|"c21"|"c15"|"c8"|"b18"|"b0"|"a"|"c12"|"c18"|"b5"|"c19"|"c17"|"c3"|"c24"|"b21"|"c4"|"c9"|"b2"|"c2"|"c5"|"c1"|"b14"|"c14"|"c23"|"b19"|"b3"|"c7"|"b24"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
3,00:00:00.006,0,44,["b5"|"b2"|"c3"|"c17"|"b24"|"b0"|"c20"|"b16"|"c1"|"c16"|"b19"|"c24"|"c13"|"b4"|"b12"|"c5"|"c10"|"b7"|"c19"|"b9"|"a"|"c6"|"b11"|"c8"|"c7"|"c0"|"b17"|"c14"|"b14"|"b21"|"c4"|"c18"|"c9"|"b22"|"c15"|"b3"|"b15"|"b8"|"c12"|"b6"|"b18"|"c21"|"b10"|"b1"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
4,00:00:00.005,0,0,[],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
5,00:00:00.008,0,43,["c23"|"b8"|"b16"|"b0"|"c1"|"c5"|"c9"|"b2"|"b17"|"b21"|"b23"|"c16"|"b9"|"c2"|"b24"|"b12"|"c3"|"b10"|"c21"|"c7"|"b4"|"c22"|"c6"|"b22"|"b1"|"c10"|"c4"|"b7"|"b20"|"c18"|"b18"|"b11"|"c11"|"c20"|"a"|"b19"|"c12"|"b3"|"c8"|"b13"|"c19"|"c0"|"c13"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
6,00:00:00.006,0,2,["b9"|"b11"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
7,00:00:00.006,2,40,["b21"|"c3"|"c1"|"c4"|"c19"|"b1"|"c20"|"b10"|"c16"|"b14"|"b8"|"b3"|"b13"|"c6"|"b16"|"c7"|"c22"|"b9"|"b20"|"c15"|"b12"|"c21"|"b7"|"b24"|"b0"|"c9"|"b11"|"c13"|"c11"|"b23"|"c18"|"a"|"b15"|"b4"|"c14"|"c24"|"c5"|"c8"|"c10"|"b17"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
8,00:00:00.006,0,41,["b10"|"b6"|"b1"|"c2"|"c1"|"b9"|"b17"|"c9"|"c5"|"c21"|"b11"|"c11"|"c17"|"c12"|"b15"|"b16"|"b24"|"b4"|"b3"|"c6"|"c16"|"b12"|"b5"|"b2"|"b0"|"c13"|"a"|"b21"|"c22"|"c0"|"c4"|"b8"|"c3"|"c15"|"c24"|"b19"|"c8"|"b23"|"b7"|"b18"|"b20"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
9,00:00:00.005,0,18,["c9"|"c17"|"b12"|"c13"|"c23"|"c15"|"c21"|"b19"|"b11"|"b23"|"c18"|"c8"|"c6"|"c5"|"b6"|"c20"|"c12"|"b24"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
10,00:00:00.006,0,41,["c6"|"c7"|"b10"|"a"|"c19"|"b20"|"b4"|"b8"|"c0"|"b5"|"b22"|"c24"|"b16"|"c21"|"b21"|"c22"|"b24"|"b2"|"b17"|"b14"|"b1"|"c5"|"b15"|"b12"|"c20"|"c10"|"c3"|"c11"|"b9"|"b0"|"c16"|"b6"|"c14"|"c8"|"c12"|"c23"|"b18"|"c18"|"c15"|"b19"|"b7"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
11,00:00:00.004,0,9,["c21"|"c8"|"c23"|"c19"|"c9"|"b11"|"c24"|"c13"|"c4"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
12,00:00:00.005,0,37,["b23"|"c3"|"c17"|"c16"|"b3"|"b12"|"c6"|"b11"|"b6"|"b14"|"c5"|"b13"|"b2"|"c10"|"c8"|"c11"|"b9"|"b24"|"c1"|"c23"|"b19"|"c19"|"b10"|"b16"|"b17"|"b22"|"c0"|"a"|"c12"|"c24"|"b18"|"b20"|"c14"|"b8"|"b4"|"b21"|"b7"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
13,00:00:00.004,0,17,["c7"|"b12"|"c13"|"c24"|"b19"|"b13"|"c5"|"c17"|"c18"|"b0"|"b4"|"c21"|"b15"|"c10"|"b9"|"b22"|"c2"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
14,00:00:00.016,2,25,["c3"|"c10"|"c5"|"c14"|"b16"|"b22"|"b12"|"c6"|"a"|"b19"|"b13"|"c7"|"b9"|"b5"|"c11"|"b17"|"b1"|"b24"|"b6"|"c23"|"b4"|"b15"|"b11"|"b10"|"b3"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
15,00:00:00.005,0,26,["c21"|"b19"|"c11"|"b24"|"b17"|"b7"|"b12"|"b5"|"c6"|"b18"|"c19"|"c16"|"b2"|"b23"|"b21"|"b1"|"b6"|"b9"|"c13"|"c24"|"b10"|"b22"|"b14"|"c7"|"c4"|"b4"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
16,00:00:00.005,0,18,["b2"|"b23"|"b11"|"c4"|"b5"|"c12"|"b16"|"b13"|"c17"|"c0"|"c13"|"c16"|"c6"|"c19"|"b20"|"b1"|"c9"|"c24"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
17,00:00:00.005,0,47,["c16"|"c8"|"b15"|"b19"|"b0"|"c10"|"b21"|"b6"|"b12"|"b1"|"c21"|"c22"|"c3"|"b16"|"c14"|"c5"|"b17"|"b8"|"b3"|"c7"|"b22"|"b11"|"c18"|"c4"|"c6"|"c15"|"c9"|"b5"|"c23"|"b18"|"b20"|"b14"|"c19"|"b2"|"c24"|"b10"|"b13"|"b4"|"c11"|"c2"|"c17"|"a"|"c0"|"b24"|"c12"|"b9"|"b7"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
18,00:00:00.005,0,9,["b8"|"b9"|"b17"|"c1"|"c8"|"b22"|"c3"|"c13"|"c12"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
19,00:00:00.005,0,3,["b18"|"b20"|"c8"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
20,00:00:00.003,0,13,["c24"|"c23"|"c17"|"b6"|"c18"|"b12"|"c21"|"b0"|"b11"|"b10"|"b2"|"c1"|"c19"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
21,00:00:00.005,0,5,["c10"|"c20"|"c21"|"c8"|"c5"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
22,00:00:00.005,0,19,["b20"|"b23"|"c12"|"c23"|"b18"|"c3"|"c19"|"c0"|"b14"|"a"|"b19"|"c14"|"c13"|"b11"|"c8"|"b12"|"b5"|"b8"|"b0"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
23,00:00:00.005,2,7,["c21"|"b16"|"a"|"b5"|"b1"|"c8"|"c11"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
