run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
0,00:00:00.334,1,5,["a16"|"a12"|"a34"|"a5"|"a49"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
1,00:00:00.273,0,36,["a43"|"a27"|"a3"|"a35"|"a46"|"a8"|"a10"|"a32"|"a21"|"a11"|"a44"|"a"|"a41"|"a19"|"a2"|"a45"|"a12"|"a5"|"a6"|"a14"|"a26"|"a49"|"a31"|"a51"|"a13"|"a24"|"a48"|"a34"|"a22"|"a30"|"a16"|"a42"|"a4"|"a1"|"a25"|"a7"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
2,00:00:00.283,0,18,["a30"|"a33"|"a31"|"a14"|"a51"|"a49"|"a5"|"a13"|"a6"|"a44"|"a10"|"a16"|"a9"|"a48"|"a1"|"a12"|"a50"|"a23"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
3,00:00:02.105,0,22,["a19"|"a24"|"a13"|"a1"|"a4"|"a10"|"a21"|"a37"|"a50"|"a"|"a34"|"a9"|"a28"|"a35"|"a31"|"a2"|"a51"|"a49"|"a45"|"a5"|"a25"|"a23"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
4,00:00:00.228,0,34,["a19"|"a31"|"a46"|"a37"|"a11"|"a25"|"a32"|"a42"|"a27"|"a4"|"a22"|"a2"|"a41"|"a18"|"a40"|"a43"|"a8"|"a48"|"a47"|"a1"|"a34"|"a12"|"a15"|"a51"|"a21"|"a45"|"a33"|"a49"|"a30"|"a39"|"a17"|"a6"|"a13"|"a9"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
5,00:00:00.184,0,44,["a3"|"a39"|"a29"|"a9"|"a49"|"a26"|"a31"|"a42"|"a44"|"a47"|"a24"|"a46"|"a20"|"a23"|"a41"|"a"|"a4"|"a2"|"a33"|"a28"|"a12"|"a32"|"a37"|"a25"|"a5"|"a22"|"a16"|"a21"|"a17"|"a51"|"a7"|"a45"|"a1"|"a27"|"a34"|"a8"|"a40"|"a43"|"a14"|"a30"|"a38"|"a15"|"a35"|"a48"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
6,00:00:00.209,0,31,["a40"|"a2"|"a36"|"a17"|"a19"|"a46"|"a34"|"a14"|"a18"|"a44"|"a24"|"a49"|"a9"|"a23"|"a1"|"a39"|"a7"|"a28"|"a47"|"a20"|"a48"|"a27"|"a51"|"a50"|"a5"|"a31"|"a32"|"a33"|"a13"|"a11"|"a45"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
7,00:00:00.242,0,39,["a2"|"a47"|"a1"|"a8"|"a41"|"a27"|"a48"|"a50"|"a30"|"a49"|"a4"|"a46"|"a32"|"a10"|"a28"|"a29"|"a25"|"a"|"a3"|"a33"|"a12"|"a19"|"a34"|"a37"|"a23"|"a39"|"a17"|"a22"|"a31"|"a14"|"a42"|"a20"|"a35"|"a51"|"a6"|"a21"|"a36"|"a15"|"a5"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
8,00:00:00.193,1,22,["a47"|"a27"|"a36"|"a19"|"a8"|"a24"|"a3"|"a2"|"a25"|"a31"|"a16"|"a50"|"a32"|"a22"|"a5"|"a15"|"a48"|"a40"|"a45"|"a10"|"a6"|"a20"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
9,00:00:00.216,1,10,["a25"|"a47"|"a10"|"a"|"a28"|"a49"|"a3"|"a24"|"a40"|"a23"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
